time,"Ambient temperature (℃)","Battery DC Capacity (kWh)","Battery DC Current (A)","Battery DC Max Voltage (V)","Battery DC Min Voltage (V)","Battery DC Voltage (V)","DC Battery Temperature (℃)","HV EV Battery Power (kW)","OBD Module Voltage (V)","State of charge (%)","State of health (%)","Vehicle speed (km/h)",
12:51:24.190,,,,,,,,,14.3,,,,
12:51:24.452,,,,,,,5,,,,,,
12:51:24.546,2,,,,,,,,,,,,
12:51:24.747,,,,,,,,,,,,0,
12:51:25.079,,,,,,,,,,59.474609375,,,
12:51:25.197,,25.046875,,,,,,,,,,,
12:51:25.305,,,,,,,,,,,99.125,,
12:51:25.411,,,,,,408.875,,2.504359375,,,,,
12:51:25.521,,,5.75,,,,,,,,,,
12:51:25.640,,,,,3.78,,,,,,,,
12:51:25.797,,,,3.792,,,,,,,,,
12:51:26.009,,,,,,,,,14.3,,,,
12:51:26.256,,,,,,,5,,,,,,
12:51:26.376,2,,,,,,,,,,,,
12:51:26.474,,,,,,,,,,,,0,
12:51:26.873,,,,,,,,,,59.46875,,,
12:51:26.991,,25.046875,,,,,,,,,,,
12:51:27.098,,,,,,,,,,,99.125,,
12:51:27.196,,,,,,409.0625,,2.352109375,,,,,
12:51:27.283,,,5.546875,,,,,,,,,,
12:51:27.371,,,,,3.779,,,,,,,,
12:51:27.468,,,,3.792,,,,,,,,,
12:51:27.709,,,,,,,,,14.3,,,,
12:51:27.985,,,,,,,5,,,,,,
12:51:28.041,2,,,,,,,,,,,,
12:51:28.105,,,,,,,,,,,,0,
12:51:28.337,,,,,,,,,,59.46484375,,,
12:51:28.394,,25.03125,,,,,,,,,,,
12:51:28.459,,,,,,,,,,,99.125,,
12:51:28.526,,,,,,409.0625,,2.2690185546875,,,,,
12:51:28.602,,,5.59375,,,,,,,,,,
12:51:28.698,,,,,3.78,,,,,,,,
12:51:28.794,,,,3.792,,,,,,,,,
12:51:28.950,,,,,,,,,14.4,,,,
12:51:29.170,,,,,,,5,,,,,,
12:51:29.215,2,,,,,,,,,,,,
12:51:29.283,,,,,,,,,,,,0,
12:51:29.544,,,,,,,,,,59.462890625,,,
12:51:29.630,,25.03125,,,,,,,,,,,
12:51:29.717,,,,,,,,,,,99.125,,
12:51:29.772,,,,,,409.0625,,2.288193359375,,,,,
12:51:29.860,,,5.65625,,,,,,,,,,
12:51:29.927,,,,,3.78,,,,,,,,
12:51:29.970,,,,3.792,,,,,,,,,
12:51:30.137,,,,,,,,,14.3,,,,
12:51:30.328,,,,,,,5,,,,,,
12:51:30.384,2,,,,,,,,,,,,
12:51:30.474,,,,,,,,,,,,0,
12:51:30.750,,,,,,,,,,59.458984375,,,
12:51:30.816,,25.03125,,,,,,,,,,,
12:51:30.872,,,,,,,,,,,99.125,,
12:51:30.938,,,,,,408.875,,2.31269921875,,,,,
12:51:30.993,,,5.671875,,,,,,,,,,
12:51:31.061,,,,,3.779,,,,,,,,
12:51:31.169,,,,3.792,,,,,,,,,
12:51:31.325,,,,,,,,,14.3,,,,
12:51:31.680,,,,,,,5,,,,,,
12:51:31.726,2,,,,,,,,,,,,
12:51:31.782,,,,,,,,,,,,0,
12:51:32.026,,,,,,,,,,59.458984375,,,
12:51:32.080,,25.03125,,,,,,,,,,,
12:51:32.136,,,,,,,,,,,99.125,,
12:51:32.192,,,,,,409.0625,,2.3201513671875,,,,,
12:51:32.258,,,5.703125,,,,,,,,,,
12:51:32.325,,,,,3.779,,,,,,,,
12:51:32.400,,,,3.792,,,,,,,,,
12:51:32.663,,,,,,,,,14.3,,,,
12:51:32.876,,,,,,,5,,,,,,
12:51:32.943,2,,,,,,,,,,,,
12:51:32.999,,,,,,,,,,,,0,
12:51:33.231,,,,,,,,,,59.458984375,,,
12:51:33.298,,25.03125,,,,,,,,,,,
12:51:33.478,,,,,,,,,,,99.125,,
12:51:33.566,,,,,,408.875,,2.331865234375,,,,,
12:51:33.632,,,5.671875,,,,,,,,,,
12:51:33.698,,,,,3.78,,,,,,,,
12:51:33.762,,,,3.792,,,,,,,,,
12:51:33.919,,,,,,,,,14.3,,,,
12:51:34.131,,,,,,,5,,,,,,
12:51:34.195,2,,,,,,,,,,,,
12:51:34.372,,,,,,,,,,,,0,
12:51:34.639,,,,,,,,,,59.45703125,,,
12:51:34.695,,25.03125,,,,,,,,,,,
12:51:34.760,,,,,,,,,,,99.125,,
12:51:34.824,,,,,,409.0625,,2.3201513671875,,,,,
12:51:34.866,,,5.78125,,,,,,,,,,
12:51:34.919,,,,,3.78,,,,,,,,
12:51:34.982,,,,3.792,,,,,,,,,
12:51:35.134,,,,,,,,,14.3,,,,
12:51:35.466,,,,,,,5,,,,,,
12:51:35.520,2,,,,,,,,,,,,
12:51:35.575,,,,,,,,,,,,0,
12:51:35.781,,,,,,,,,,59.45703125,,,
12:51:35.837,,25.03125,,,,,,,,,,,
12:51:35.902,,,,,,,,,,,99.125,,
12:51:35.951,,,,,,409.0625,,2.364892578125,,,,,
12:51:36.017,,,5.859375,,,,,,,,,,
12:51:36.083,,,,,3.78,,,,,,,,
12:51:36.142,,,,3.793,,,,,,,,,
12:51:36.442,,,,,,,,,14.3,,,,
12:51:36.676,,,,,,,5,,,,,,
12:51:36.741,2,,,,,,,,,,,,
12:51:36.786,,,,,,,,,,,,0,
12:51:36.998,,,,,,,,,,59.455078125,,,
12:51:37.074,,25.03125,,,,,,,,,,,
12:51:37.150,,,,,,,,,,,99.125,,
12:51:37.216,,,,,,409.0625,,2.3968505859375,,,,,
12:51:37.345,,,5.796875,,,,,,,,,,
12:51:37.442,,,,,3.779,,,,,,,,
12:51:37.505,,,,3.793,,,,,,,,,
12:51:37.654,,,,,,,,,14.3,,,,
12:51:37.890,,,,,,,5,,,,,,
12:51:37.946,2,,,,,,,,,,,,
12:51:37.991,,,,,,,,,,,,0,
12:51:38.288,,,,,,,,,,59.455078125,,,
12:51:38.376,,25.03125,,,,,,,,,,,
12:51:38.433,,,,,,,,,,,99.125,,
12:51:38.499,,,,,,408.875,,2.370197265625,,,,,
12:51:38.567,,,5.71875,,,,,,,,,,
12:51:38.622,,,,,3.779,,,,,,,,
12:51:38.677,,,,3.792,,,,,,,,,
12:51:38.823,,,,,,,,,14.3,,,,
12:51:39.098,,,,,,,5,,,,,,
12:51:39.185,2,,,,,,,,,,,,
12:51:39.271,,,,,,,,,,,,0,
12:51:39.478,,,,,,,,,,59.453125,,,
12:51:39.545,,25.03125,,,,,,,,,,,
12:51:39.621,,,,,,,,,,,99.125,,
12:51:39.676,,,,,,409.0625,,2.339326171875,,,,,
12:51:39.732,,,5.6875,,,,,,,,,,
12:51:39.809,,,,,3.779,,,,,,,,
12:51:39.886,,,,3.792,,,,,,,,,
12:51:40.191,,,,,,,,,14.3,,,,
12:51:40.371,,,,,,,5,,,,,,
12:51:40.435,2,,,,,,,,,,,,
12:51:40.501,,,,,,,,,,,,0,
12:51:40.725,,,,,,,,,,59.453125,,,
12:51:40.781,,25.03125,,,,,,,,,,,
12:51:40.846,,,,,,,,,,,99.125,,
12:51:40.911,,,,,,409.0625,,2.32654296875,,,,,
12:51:40.978,,,5.8125,,,,,,,,,,
12:51:41.043,,,,,3.78,,,,,,,,
12:51:41.149,,,,3.792,,,,,,,,,
12:51:41.351,,,,,,,,,14.3,,,,
12:51:41.561,,,,,,,5,,,,,,
12:51:41.618,2,,,,,,,,,,,,
12:51:41.673,,,,,,,,,,,,0,
12:51:41.866,,,,,,,,,,59.453125,,,
12:51:41.932,,25.03125,,,,,,,,,,,
12:51:42.028,,,,,,,,,,,99.125,,
12:51:42.156,,,,,,408.875,,2.3765859375,,,,,
12:51:42.255,,,6.28125,,,,,,,,,,
12:51:42.342,,,,,3.779,,,,,,,,
12:51:42.418,,,,3.791,,,,,,,,,
12:51:42.566,,,,,,,,,14.3,,,,
12:51:42.789,,,,,,,5,,,,,,
12:51:42.855,2,,,,,,,,,,,,
12:51:42.900,,,,,,,,,,,,0,
12:51:43.290,,,,,,,,,,59.451171875,,,
12:51:43.367,,25.03125,,,,,,,,,,,
12:51:43.431,,,,,,,,,,,99.125,,
12:51:43.518,,,,,,408.875,,2.56824609375,,,,,
12:51:43.573,,,6.125,,,,,,,,,,
12:51:43.637,,,,,3.779,,,,,,,,
12:51:43.695,,,,3.792,,,,,,,,,
12:51:43.943,,,,,,,,,14.3,,,,
12:51:44.176,,,,,,,5,,,,,,
12:51:44.221,2,,,,,,,,,,,,
12:51:44.277,,,,,,,,,,,,0,
12:51:44.470,,,,,,,,,,59.451171875,,,
12:51:44.524,,25.03125,,,,,,,,,,,
12:51:44.580,,,,,,,,,,,99.125,,
12:51:44.626,,,,,,408.875,,2.504359375,,,,,
12:51:44.681,,,6.28125,,,,,,,,,,
12:51:44.745,,,,,3.779,,,,,,,,
12:51:44.789,,,,3.792,,,,,,,,,
12:51:45.052,,,,,,,,,14.3,,,,
12:51:45.275,,,,,,,5,,,,,,
12:51:45.342,2,,,,,,,,,,,,
12:51:45.387,,,,,,,,,,,,0,
12:51:45.590,,,,,,,,,,59.44921875,,,
12:51:45.635,,25.03125,,,,,,,,,,,
12:51:45.702,,,,,,,,,,,99.125,,
12:51:45.768,,,,,,408.875,,2.56824609375,,,,,
12:51:45.950,,,6.09375,,,,,,,,,,
12:51:46.059,,,,,3.78,,,,,,,,
12:51:46.113,,,,3.792,,,,,,,,,
12:51:46.269,,,,,,,,,14.4,,,,
12:51:46.479,,,,,,,5,,,,,,
12:51:46.544,2,,,,,,,,,,,,
12:51:46.622,,,,,,,,,,,,0,
12:51:46.908,,,,,,,,,,59.44921875,,,
12:51:47.005,,25.03125,,,,,,,,,,,
12:51:47.070,,,,,,,,,,,99.125,,
12:51:47.147,,,,,,408.875,,2.49158203125,,,,,
12:51:47.201,,,6.21875,,,,,,,,,,
12:51:47.256,,,,,3.779,,,,,,,,
12:51:47.312,,,,3.792,,,,,,,,,
12:51:47.482,,,,,,,,,14.3,,,,
12:51:47.737,,,,,,,5,,,,,,
12:51:47.835,2,,,,,,,,,,,,
12:51:47.922,,,,,,,,,,,,0,
12:51:48.155,,,,,,,,,,59.447265625,,,
12:51:48.214,,25.03125,,,,,,,,,,,
12:51:48.269,,,,,,,,,,,99.125,,
12:51:48.346,,,,,,408.875,,2.54269140625,,,,,
12:51:48.401,,,6.390625,,,,,,,,,,
12:51:48.445,,,,,3.778,,,,,,,,
12:51:48.500,,,,3.791,,,,,,,,,
12:51:48.761,,,,,,,,,14.3,,,,
12:51:49.004,,,,,,,5,,,,,,
12:51:49.059,2,,,,,,,,,,,,
12:51:49.104,,,,,,,,,,,,0,
12:51:49.319,,,,,,,,,,59.447265625,,,
12:51:49.374,,25.03125,,,,,,,,,,,
12:51:49.439,,,,,,,,,,,99.125,,
12:51:49.504,,,,,,408.875,,2.612966796875,,,,,
12:51:49.558,,,6,,,,,,,,,,
12:51:49.614,,,,,3.779,,,,,,,,
12:51:49.721,,,,3.792,,,,,,,,,
12:51:50.001,,,,,,,,,14.4,,,,
12:51:50.193,,,,,,,5,,,,,,
12:51:50.249,2,,,,,,,,,,,,
12:51:50.316,,,,,,,,,,,,0,
12:51:50.615,,,,,,,,,,59.447265625,,,
12:51:50.713,,25.03125,,,,,,,,,,,
12:51:50.778,,,,,,,,,,,99.125,,
12:51:50.844,,,,,,408.875,,2.45325,,,,,
12:51:50.908,,,5.90625,,,,,,,,,,
12:51:50.952,,,,,3.779,,,,,,,,
12:51:51.018,,,,3.792,,,,,,,,,
12:51:51.197,,,,,,,,,14.4,,,,
12:51:51.397,,,,,,,5,,,,,,
12:51:51.452,2,,,,,,,,,,,,
12:51:51.519,,,,,,,,,,,,0,
12:51:51.794,,,,,,,,,,59.4453125,,,
12:51:51.860,,25.03125,,,,,,,,,,,
12:51:51.916,,,,,,,,,,,99.125,,
12:51:51.983,,,,,,408.875,,2.41491796875,,,,,
12:51:52.048,,,5.90625,,,,,,,,,,
12:51:52.093,,,,,3.779,,,,,,,,
12:51:52.148,,,,3.792,,,,,,,,,
12:51:52.296,,,,,,,,,14.4,,,,
12:51:52.528,,,,,,,5,,,,,,
