time,"Ambient temperature (℃)","Battery DC Capacity (kWh)","Battery DC Current (A)","Battery DC Max Voltage (V)","Battery DC Min Voltage (V)","Battery DC Voltage (V)","DC Battery Temperature (℃)","HV EV Battery Power (kW)","OBD Module Voltage (V)","State of charge (%)","State of health (%)","Vehicle speed (km/h)",
09:05:07.362,,,,,,,,,14.4,,,,
09:05:07.617,,,,,,,11,,,,,,
09:05:07.732,7,,,,,,,,,,,,
09:05:07.821,,,,,,,,,,,,0,
09:05:08.087,,,,,,,,,,80.080078125,,,
09:05:08.238,,35.71875,,,,,,,,,,,
09:05:08.346,,,,,,,,,,,99.125,,
09:05:08.475,,,,,,426.6875,,,,,,,
09:05:08.577,,,5.953125,,,,,,,,,,
09:05:08.664,,,,,3.942,,,,,,,,
09:05:08.773,,,,3.956,,,,,,,,,
09:05:08.963,,,,,,,,,14.2,,,,
09:05:09.411,,,,,,,11,,,,,,
09:05:09.528,7,,,,,,,,,,,,
09:05:09.824,,,,,,,,,,,,0,
09:05:10.101,,,,,,,,,,80.07421875,,,
09:05:10.199,,35.71875,,,,,,,,,,,
09:05:10.309,,,,,,,,,,,99.125,,
09:05:10.406,,,,,,426.6875,,2.5401240234375,,,,,
09:05:10.502,,,5.921875,,,,,,,,,,
09:05:10.595,,,,,3.942,,,,,,,,
09:05:10.688,,,,3.956,,,,,,,,,
09:05:10.986,,,,,,,,,14.2,,,,
09:05:11.230,,,,,,,11,,,,,,
09:05:11.273,7,,,,,,,,,,,,
09:05:11.326,,,,,,,,,,,,0,
09:05:11.617,,,,,,,,,,80.0703125,,,
09:05:11.773,,35.71875,,,,,,,,,,,
09:05:11.848,,,,,,,,,,,99.125,,
09:05:11.902,,,,,,426.6875,,2.5267900390625,,,,,
09:05:11.966,,,6.015625,,,,,,,,,,
09:05:12.080,,,,,3.942,,,,,,,,
09:05:12.132,,,,3.956,,,,,,,,,
09:05:12.383,,,,,,,,,14.2,,,,
09:05:13.006,,,,,,,11,,,,,,
09:05:13.113,7,,,,,,,,,,,,
09:05:13.178,,,,,,,,,,,,2.328125,
09:05:13.761,,,,,,,,,,80.0625,,,
09:05:13.953,,35.71875,,,,,,,,,,,
09:05:14.104,,,,,,,,,,,99.125,,
09:05:14.171,,,,,,426.5625,,2.5660400390625,,,,,
09:05:14.246,,,7.734375,,,,,,,,,,
09:05:14.314,,,,,3.941,,,,,,,,
09:05:14.408,,,,3.954,,,,,,,,,
09:05:14.846,,,,,,,,,14.2,,,,
09:05:15.140,,,,,,,11,,,,,,
09:05:15.227,7,,,,,,,,,,,,
09:05:15.282,,,,,,,,,,,,3.7265625,
09:05:15.730,,,,,,,,,,80.0546875,,,
09:05:15.804,,35.71875,,,,,,,,,,,
09:05:15.878,,,,,,,,,,,99.125,,
09:05:15.941,,,,,,426.5625,,3.2991943359375,,,,,
09:05:16.046,,,8.078125,,,,,,,,,,
09:05:16.160,,,,,3.94,,,,,,,,
09:05:16.266,,,,3.954,,,,,,,,,
09:05:16.625,,,,,,,,,14.2,,,,
09:05:16.908,,,,,,,11,,,,,,
09:05:16.963,7,,,,,,,,,,,,
09:05:17.079,,,,,,,,,,,,3.46875,
09:05:17.476,,,,,,,,,,80.048828125,,,
09:05:17.563,,35.71875,,,,,,,,,,,
09:05:17.638,,,,,,,,,,,99.125,,
09:05:17.725,,,,,,426.5625,,3.4458251953125,,,,,
09:05:17.809,,,7.078125,,,,,,,,,,
09:05:17.864,,,,,3.941,,,,,,,,
09:05:17.919,,,,3.954,,,,,,,,,
09:05:18.097,,,,,,,,,14.2,,,,
09:05:18.585,,,,,,,11,,,,,,
09:05:18.671,7,,,,,,,,,,,,
09:05:18.745,,,,,,,,,,,,3.375,
09:05:19.246,,,,,,,,,,80.04296875,,,
09:05:19.353,,35.703125,,,,,,,,,,,
09:05:19.450,,,,,,,,,,,99.125,,
09:05:19.558,,,,,,426.375,,3.017935546875,,,,,
09:05:19.654,,,7.21875,,,,,,,,,,
09:05:19.814,,,,,3.941,,,,,,,,
09:05:19.911,,,,3.954,,,,,,,,,
09:05:20.301,,,,,,,,,14.2,,,,
09:05:20.735,,,,,,,11,,,,,,
09:05:20.788,7,,,,,,,,,,,,
09:05:20.853,,,,,,,,,,,,3.7265625,
09:05:21.156,,,,,,,,,,80.037109375,,,
09:05:21.264,,35.703125,,,,,,,,,,,
09:05:21.348,,,,,,,,,,,99.125,,
09:05:21.401,,,,,,426.5625,,3.079248046875,,,,,
09:05:21.464,,,6.4375,,,,,,,,,,
09:05:21.517,,,,,3.941,,,,,,,,
09:05:21.569,,,,3.955,,,,,,,,,
09:05:21.734,,,,,,,,,14.3,,,,
09:05:21.922,,,,,,,11,,,,,,
09:05:21.966,7,,,,,,,,,,,,
09:05:22.031,,,,,,,,,,,,3.2734375,
09:05:22.406,,,,,,,,,,80.033203125,,,
09:05:22.469,,35.703125,,,,,,,,,,,
09:05:22.523,,,,,,,,,,,99.125,,
09:05:22.588,,,,,,426.5625,,2.74599609375,,,,,
09:05:22.654,,,6.609375,,,,,,,,,,
09:05:22.720,,,,,3.941,,,,,,,,
09:05:22.794,,,,3.955,,,,,,,,,
09:05:22.971,,,,,,,,,14.3,,,,
09:05:23.331,,,,,,,11,,,,,,
09:05:23.386,7,,,,,,,,,,,,
09:05:23.450,,,,,,,,,,,,3,
09:05:23.661,,,,,,,,,,80.029296875,,,
09:05:23.726,,35.703125,,,,,,,,,,,
09:05:23.781,,,,,,,,,,,99.125,,
09:05:23.835,,,,,,426.5625,,2.8193115234375,,,,,
09:05:23.888,,,6.234375,,,,,,,,,,
09:05:23.943,,,,,3.941,,,,,,,,
09:05:24.010,,,,3.955,,,,,,,,,
09:05:24.291,,,,,,,,,14.3,,,,
09:05:24.503,,,,,,,11,,,,,,
09:05:24.548,7,,,,,,,,,,,,
09:05:24.591,,,,,,,,,,,,2.6328125,
09:05:24.791,,,,,,,,,,80.02734375,,,
09:05:24.835,,35.703125,,,,,,,,,,,
09:05:24.889,,,,,,,,,,,99.125,,
09:05:24.996,,,,,,426.5625,,2.6593505859375,,,,,
09:05:25.092,,,5.65625,,,,,,,,,,
09:05:25.166,,,,,3.941,,,,,,,,
09:05:25.232,,,,3.955,,,,,,,,,
09:05:25.390,,,,,,,,,14.3,,,,
09:05:25.615,,,,,,,11,,,,,,
09:05:25.668,7,,,,,,,,,,,,
09:05:25.720,,,,,,,,,,,,0.7578125,
09:05:25.943,,,,,,,,,,80.0234375,,,
09:05:26.046,,35.703125,,,,,,,,,,,
09:05:26.142,,,,,,,,,,,99.125,,
09:05:26.226,,,,,,426.6875,,2.413451171875,,,,,
09:05:26.290,,,4.828125,,,,,,,,,,
09:05:26.354,,,,,3.942,,,,,,,,
09:05:26.397,,,,3.956,,,,,,,,,
09:05:26.557,,,,,,,,,14.3,,,,
09:05:26.760,,,,,,,11,,,,,,
09:05:26.814,7,,,,,,,,,,,,
09:05:26.867,,,,,,,,,,,,0,
09:05:27.213,,,,,,,,,,80.021484375,,,
09:05:27.268,,35.703125,,,,,,,,,,,
09:05:27.335,,,,,,,,,,,99.125,,
09:05:27.379,,,,,,426.6875,,2.0601005859375,,,,,
09:05:27.422,,,4.4375,,,,,,,,,,
09:05:27.476,,,,,3.942,,,,,,,,
09:05:27.542,,,,3.956,,,,,,,,,
09:05:27.731,,,,,,,,,14.3,,,,
09:05:28.035,,,,,,,11,,,,,,
09:05:28.121,7,,,,,,,,,,,,
09:05:28.175,,,,,,,,,,,,0,
09:05:28.428,,,,,,,,,,80.01953125,,,
09:05:28.492,,35.703125,,,,,,,,,,,
09:05:28.548,,,,,,,,,,,99.125,,
09:05:28.603,,,,,,426.6875,,1.89342578125,,,,,
09:05:28.680,,,4.28125,,,,,,,,,,
09:05:28.746,,,,,3.943,,,,,,,,
09:05:28.830,,,,3.956,,,,,,,,,
09:05:29.082,,,,,,,,,14.3,,,,
09:05:29.302,,,,,,,11,,,,,,
09:05:29.346,7,,,,,,,,,,,,
09:05:29.389,,,,,,,,,,,,0,
09:05:29.601,,,,,,,,,,80.015625,,,
09:05:29.665,,35.703125,,,,,,,,,,,
09:05:29.721,,,,,,,,,,,99.125,,
09:05:29.776,,,,,,426.6875,,1.826755859375,,,,,
09:05:29.873,,,4.34375,,,,,,,,,,
09:05:29.959,,,,,3.942,,,,,,,,
09:05:30.046,,,,3.957,,,,,,,,,
09:05:30.213,,,,,,,,,14.3,,,,
09:05:30.429,,,,,,,11,,,,,,
09:05:30.516,7,,,,,,,,,,,,
09:05:30.600,,,,,,,,,,,,0,
09:05:31.083,,,,,,,,,,80.013671875,,,
09:05:31.150,,35.703125,,,,,,,,,,,
09:05:31.204,,,,,,,,,,,99.125,,
09:05:31.269,,,,,,426.6875,,1.853423828125,,,,,
09:05:31.324,,,4.828125,,,,,,,,,,
09:05:31.387,,,,,3.942,,,,,,,,
09:05:31.451,,,,3.956,,,,,,,,,
09:05:31.598,,,,,,,,,14.3,,,,
09:05:31.931,,,,,,,11,,,,,,
09:05:31.997,7,,,,,,,,,,,,
09:05:32.052,,,,,,,,,,,,0,
09:05:32.250,,,,,,,,,,80.009765625,,,
09:05:32.315,,35.703125,,,,,,,,,,,
09:05:32.358,,,,,,,,,,,99.125,,
09:05:32.412,,,,,,426.5625,,2.0594970703125,,,,,
09:05:32.467,,,6.25,,,,,,,,,,
09:05:32.520,,,,,3.941,,,,,,,,
09:05:32.597,,,,3.955,,,,,,,,,
09:05:32.834,,,,,,,,,14.3,,,,
09:05:33.061,,,,,,,11,,,,,,
09:05:33.115,7,,,,,,,,,,,,
09:05:33.171,,,,,,,,,,,,0.3828125,
09:05:33.390,,,,,,,,,,80.0078125,,,
09:05:33.445,,35.703125,,,,,,,,,,,
09:05:33.510,,,,,,,,,,,99.125,,
09:05:33.566,,,,,,426.5625,,2.666015625,,,,,
09:05:33.631,,,5.609375,,,,,,,,,,
09:05:33.676,,,,,3.942,,,,,,,,
09:05:33.785,,,,3.955,,,,,,,,,
09:05:34.006,,,,,,,,,14.3,,,,
09:05:34.225,,,,,,,11,,,,,,
09:05:34.280,7,,,,,,,,,,,,
09:05:34.345,,,,,,,,,,,,1.40625,
09:05:34.601,,,,,,,,,,80.00390625,,,
09:05:34.729,,35.703125,,,,,,,,,,,
09:05:34.826,,,,,,,,,,,99.125,,
09:05:34.890,,,,,,426.5625,,2.3927490234375,,,,,
09:05:34.955,,,5.328125,,,,,,,,,,
09:05:35.000,,,,,3.942,,,,,,,,
09:05:35.064,,,,3.955,,,,,,,,,
09:05:35.242,,,,,,,,,14.3,,,,
09:05:35.470,,,,,,,11,,,,,,
09:05:35.514,7,,,,,,,,,,,,
09:05:35.683,,,,,,,,,,,,0,
09:05:35.945,,,,,,,,,,80.001953125,,,
09:05:35.999,,35.703125,,,,,,,,,,,
09:05:36.095,,,,,,,,,,,99.125,,
09:05:36.148,,,,,,426.6875,,2.2734443359375,,,,,
09:05:36.214,,,4.625,,,,,,,,,,
09:05:36.279,,,,,3.943,,,,,,,,
09:05:36.344,,,,3.955,,,,,,,,,
09:05:36.510,,,,,,,,,14.3,,,,
09:05:36.867,,,,,,,11,,,,,,
09:05:36.912,7,,,,,,,,,,,,
09:05:36.956,,,,,,,,,,,,0,
09:05:37.161,,,,,,,,,,79.998046875,,,
09:05:37.226,,35.703125,,,,,,,,,,,
09:05:37.281,,,,,,,,,,,99.125,,
09:05:37.348,,,,,,426.25,,1.97140625,,,,,
09:05:37.416,,,10.765625,,,,,,,,,,
09:05:37.503,,,,,3.938,,,,,,,,
09:05:37.589,,,,3.951,,,,,,,,,
09:05:37.797,,,,,,,,,14.3,,,,
09:05:38.027,,,,,,,11,,,,,,
09:05:38.084,7,,,,,,,,,,,,
09:05:38.142,,,,,,,,,,,,5.0390625,
09:05:38.354,,,,,,,,,,79.990234375,,,
09:05:38.419,,35.703125,,,,,,,,,,,
09:05:38.601,,,,,,,,,,,99.125,,
09:05:38.677,,,,,,425,,4.575390625,,,,,
09:05:38.732,,,24.515625,,,,,,,,,,
09:05:38.776,,,,,3.928,,,,,,,,
09:05:38.841,,,,3.941,,,,,,,,,
09:05:38.997,,,,,,,,,14.2,,,,
09:05:39.228,,,,,,,11,,,,,,
09:05:39.294,7,,,,,,,,,,,,
09:05:39.341,,,,,,,,,,,,12.09375,
09:05:39.667,,,,,,,,,,79.974609375,,,
09:05:39.722,,35.6875,,,,,,,,,,,
09:05:39.776,,,,,,,,,,,99.125,,
09:05:39.851,,,,,,423.75,,10.38849609375,,,,,
09:05:39.904,,,38.078125,,,,,,,,,,
09:05:39.977,,,,,3.916,,,,,,,,
09:05:40.030,,,,3.931,,,,,,,,,
09:05:40.171,,,,,,,,,14.3,,,,
09:05:40.506,,,,,,,11,,,,,,
09:05:40.559,7,,,,,,,,,,,,
09:05:40.613,,,,,,,,,,,,20.75,
09:05:40.803,,,,,,,,,,79.9453125,,,
09:05:40.861,,35.6875,,,,,,,,,,,
09:05:40.936,,,,,,,,,,,99.125,,
09:05:40.979,,,,,,420.3125,,16.0047119140625,,,,,
09:05:41.054,,,79.40625,,,,,,,,,,
09:05:41.129,,,,,3.881,,,,,,,,
09:05:41.241,,,,3.9,,,,,,,,,
09:05:41.513,,,,,,,,,14.3,,,,
09:05:41.744,,,,,,,11,,,,,,
09:05:41.809,7,,,,,,,,,,,,
09:05:41.862,,,,,,,,,,,,32.578125,
09:05:42.074,,,,,,,,,,79.896484375,,,
09:05:42.129,,35.671875,,,,,,,,,,,
09:05:42.184,,,,,,,,,,,99.125,,
09:05:42.239,,,,,,418.75,,33.2513671875,,,,,
09:05:42.283,,,93.5,,,,,,,,,,
09:05:42.347,,,,,3.869,,,,,,,,
09:05:42.422,,,,3.89,,,,,,,,,
09:05:42.672,,,,,,,,,14.3,,,,
09:05:42.875,,,,,,,11,,,,,,
09:05:42.930,7,,,,,,,,,,,,
09:05:42.973,,,,,,,,,,,,41.1171875,
09:05:43.246,,,,,,,,,,79.85546875,,,
09:05:43.344,,35.65625,,,,,,,,,,,
09:05:43.431,,,,,,,,,,,99.125,,
09:05:43.497,,,,,,422.8125,,39.53296875,,,,,
09:05:43.551,,,34.234375,,,,,,,,,,
09:05:43.618,,,,,3.917,,,,,,,,
09:05:43.684,,,,3.932,,,,,,,,,
09:05:43.833,,,,,,,,,14.3,,,,
09:05:44.052,,,,,,,11,,,,,,
09:05:44.108,7,,,,,,,,,,,,
09:05:44.207,,,,,,,,,,,,44.6328125,
09:05:44.534,,,,,,,,,,79.841796875,,,
09:05:44.587,,35.65625,,,,,,,,,,,
09:05:44.653,,,,,,,,,,,99.125,,
09:05:44.719,,,,,,424.1875,,14.5217939453125,,,,,
09:05:44.784,,,27.640625,,,,,,,,,,
09:05:44.861,,,,,3.918,,,,,,,,
09:05:44.926,,,,3.933,,,,,,,,,
09:05:45.113,,,,,,,,,14.3,,,,
09:05:45.470,,,,,,,11,,,,,,
09:05:45.525,7,,,,,,,,,,,,
09:05:45.579,,,,,,,,,,,,48,
09:05:45.781,,,,,,,,,,79.828125,,,
09:05:45.847,,35.640625,,,,,,,,,,,
09:05:45.912,,,,,,,,,,,99.125,,
09:05:45.966,,,,,,424.8125,,11.7420830078125,,,,,
09:05:46.073,,,18.296875,,,,,,,,,,
09:05:46.159,,,,,3.925,,,,,,,,
09:05:46.223,,,,3.94,,,,,,,,,
09:05:46.411,,,,,,,,,14.3,,,,
09:05:46.631,,,,,,,11,,,,,,
09:05:46.687,7,,,,,,,,,,,,
09:05:46.786,,,,,,,,,,,,50.375,
09:05:46.972,,,,,,,,,,79.818359375,,,
09:05:47.028,,35.640625,,,,,,,,,,,
09:05:47.135,,,,,,,,,,,99.125,,
09:05:47.222,,,,,,425.4375,,7.7841767578125,,,,,
09:05:47.319,,,8.875,,,,,,,,,,
09:05:47.405,,,,,3.93,,,,,,,,
09:05:47.459,,,,3.946,,,,,,,,,
09:05:47.619,,,,,,,,,14.3,,,,
09:05:47.841,,,,,,,11,,,,,,
09:05:47.896,7,,,,,,,,,,,,
09:05:47.972,,,,,,,,,,,,52.296875,
09:05:48.300,,,,,,,,,,79.814453125,,,
09:05:48.375,,35.640625,,,,,,,,,,,
09:05:48.441,,,,,,,,,,,99.125,,
09:05:48.506,,,,,,428.5625,,3.8034921875,,,,,
09:05:48.561,,,-25.96875,,,,,,,,,,
09:05:48.638,,,,,3.958,,,,,,,,
09:05:48.682,,,,3.973,,,,,,,,,
09:05:48.855,,,,,,,,,14.3,,,,
09:05:49.196,,,,,,,11,,,,,,
09:05:49.251,6,,,,,,,,,,,,
09:05:49.317,,,,,,,,,,,,51.8828125,
09:05:49.545,,,,,,,,,,79.81640625,,,
09:05:49.599,,35.640625,,,,,,,,,,,
09:05:49.652,,,,,,,,,,,99.125,,
09:05:49.707,,,,,,427.5,,-11.101640625,,,,,
09:05:49.763,,,-11.484375,,,,,,,,,,
09:05:49.819,,,,,3.95,,,,,,,,
09:05:49.895,,,,3.964,,,,,,,,,
09:05:50.199,,,,,,,,,14.3,,,,
09:05:50.407,,,,,,,11,,,,,,
09:05:50.482,6,,,,,,,,,,,,
09:05:50.547,,,,,,,,,,,,52.2734375,
09:05:50.842,,,,,,,,,,79.818359375,,,
09:05:50.918,,35.65625,,,,,,,,,,,
09:05:51.086,,,,,,,,,,,99.125,,
09:05:51.141,,,,,,427.8125,,-4.9131591796875,,,,,
09:05:51.206,,,-15.546875,,,,,,,,,,
09:05:51.271,,,,,3.952,,,,,,,,
09:05:51.358,,,,3.972,,,,,,,,,
09:05:51.515,,,,,,,,,14.3,,,,
09:05:51.740,,,,,,,11,,,,,,
09:05:51.786,6,,,,,,,,,,,,
09:05:51.850,,,,,,,,,,,,51.234375,
09:05:52.214,,,,,,,,,,79.822265625,,,
09:05:52.268,,35.65625,,,,,,,,,,,
09:05:52.415,,,,,,,,,,,99.125,,
09:05:52.459,,,,,,428.75,,-6.66572265625,,,,,
09:05:52.524,,,-23.40625,,,,,,,,,,
09:05:52.579,,,,,3.961,,,,,,,,
09:05:52.638,,,,3.976,,,,,,,,,
09:05:52.815,,,,,,,,,14.3,,,,
09:05:53.147,,,,,,,11,,,,,,
09:05:53.191,6,,,,,,,,,,,,
09:05:53.257,,,,,,,,,,,,49.625,
09:05:53.459,,,,,,,,,,79.826171875,,,
09:05:53.546,,35.65625,,,,,,,,,,,
09:05:53.622,,,,,,,,,,,99.125,,
09:05:53.699,,,,,,428.875,,-10.03835546875,,,,,
09:05:53.817,,,-24.140625,,,,,,,,,,
09:05:53.883,,,,,3.963,,,,,,,,
09:05:54.000,,,,3.978,,,,,,,,,
09:05:54.189,,,,,,,,,14.3,,,,
09:05:54.421,,,,,,,11,,,,,,
09:05:54.476,6,,,,,,,,,,,,
09:05:54.532,,,,,,,,,,,,48.0390625,
09:05:54.743,,,,,,,,,,79.830078125,,,
09:05:54.819,,35.65625,,,,,,,,,,,
09:05:54.896,,,,,,,,,,,99.125,,
09:05:54.991,,,,,,430.4375,,-10.3910302734375,,,,,
09:05:55.046,,,-40.078125,,,,,,,,,,
09:05:55.101,,,,,3.976,,,,,,,,
09:05:55.155,,,,3.99,,,,,,,,,
09:05:55.314,,,,,,,,,14.3,,,,
09:05:55.514,,,,,,,11,,,,,,
09:05:55.558,6,,,,,,,,,,,,
09:05:55.623,,,,,,,,,,,,45.6875,
09:05:55.970,,,,,,,,,,79.8359375,,,
