time,"Ambient temperature (℃)","Battery DC Capacity (kWh)","Battery DC Current (A)","Battery DC Max Voltage (V)","Battery DC Min Voltage (V)","Battery DC Voltage (V)","DC Battery Temperature (℃)","HV EV Battery Power (kW)","OBD Module Voltage (V)","State of charge (%)","State of health (%)","Vehicle speed (km/h)",
13:55:17.951,,,,,,,,,14.4,,,,
13:55:18.235,,,,,,,8,,,,,,
13:55:18.359,2,,,,,,,,,,,,
13:55:18.463,,,,,,,,,,,,0,
13:55:18.821,,,,,,,,,,63.572265625,,,
13:55:18.915,,26.71875,,,,,,,,,,,
13:55:19.021,,,,,,,,,,,99.125,,
13:55:19.125,,,,,,411.25,,8.610546875,,,,,
13:55:19.242,,,19.609375,,,,,,,,,,
13:55:19.522,,,,,3.802,,,,,,,,
13:55:19.649,,,,3.814,,,,,,,,,
13:55:19.806,,,,,,,,,14.3,,,,
13:55:20.167,,,,,,,8,,,,,,
13:55:20.260,2,,,,,,,,,,,,
13:55:20.363,,,,,,,,,,,,0,
13:55:20.741,,,,,,,,,,63.556640625,,,
13:55:20.849,,26.71875,,,,,,,,,,,
13:55:20.946,,,,,,,,,,,99.125,,
13:55:21.064,,,,,,411.25,,8.06435546875,,,,,
13:55:21.180,,,19.359375,,,,,,,,,,
13:55:21.397,,,,,3.801,,,,,,,,
13:55:21.515,,,,3.813,,,,,,,,,
13:55:21.679,,,,,,,,,14.3,,,,
13:55:21.921,,,,,,,8,,,,,,
13:55:21.964,2,,,,,,,,,,,,
13:55:22.010,,,,,,,,,,,,0,
13:55:22.297,,,,,,,,,,63.541015625,,,
13:55:22.393,,26.71875,,,,,,,,,,,
13:55:22.458,,,,,,,,,,,99.125,,
13:55:22.525,,,,,,411.25,,7.96154296875,,,,,
13:55:22.591,,,19.75,,,,,,,,,,
13:55:22.646,,,,,3.8,,,,,,,,
13:55:22.702,,,,3.813,,,,,,,,,
13:55:22.876,,,,,,,,,14.3,,,,
13:55:23.125,,,,,,,8,,,,,,
