time,"Ambient temperature (℃)","Battery DC Capacity (kWh)","Battery DC Current (A)","Battery DC Max Voltage (V)","Battery DC Min Voltage (V)","Battery DC Voltage (V)","DC Battery Temperature (℃)","HV EV Battery Power (kW)","OBD Module Voltage (V)","State of charge (%)","State of health (%)","Vehicle speed (km/h)",
11:27:10.484,,,,,,,,,14.3,,,,
11:27:10.880,,,,,,,11,,,,,,
11:27:10.992,6,,,,,,,,,,,,
11:27:11.097,,,,,,,,,,,,0,
11:27:11.381,,,,,,,,,,72.162109375,,,
11:27:11.500,,32.65625,,,,,,,,,,,
11:27:11.599,,,,,,,,,,,99.125,,
11:27:11.716,,,,,,420.125,,1.398228515625,,,,,
11:27:11.867,,,3.03125,,,,,,,,,,
11:27:11.973,,,,,3.885,,,,,,,,
11:27:12.089,,,,3.896,,,,,,,,,
11:27:12.245,,,,,,,,,14.3,,,,
11:27:12.562,,,,,,,11,,,,,,
11:27:12.711,6,,,,,,,,,,,,
11:27:12.818,,,,,,,,,,,,0,
11:27:13.085,,,,,,,,,,72.16015625,,,
11:27:13.183,,32.65625,,,,,,,,,,,
11:27:13.303,,,,,,,,,,,99.125,,
11:27:13.420,,,,,,420.125,,1.27350390625,,,,,
11:27:13.568,,,2.890625,,,,,,,,,,
11:27:13.694,,,,,3.885,,,,,,,,
11:27:13.800,,,,3.896,,,,,,,,,
11:27:13.985,,,,,,,,,14.3,,,,
11:27:14.200,,,,,,,11,,,,,,
11:27:14.264,6,,,,,,,,,,,,
11:27:14.318,,,,,,,,,,,,0,
11:27:14.535,,,,,,,,,,72.16015625,,,
11:27:14.652,,32.65625,,,,,,,,,,,
11:27:14.738,,,,,,,,,,,99.125,,
11:27:14.793,,,,,,420.3125,,1.2149658203125,,,,,
11:27:14.849,,,2.875,,,,,,,,,,
11:27:14.903,,,,,3.885,,,,,,,,
11:27:14.968,,,,3.896,,,,,,,,,
11:27:15.141,,,,,,,,,14.3,,,,
11:27:15.369,,,,,,,11,,,,,,
11:27:15.413,6,,,,,,,,,,,,
11:27:15.508,,,,,,,,,,,,0,
11:27:15.790,,,,,,,,,,72.158203125,,,
11:27:15.845,,32.65625,,,,,,,,,,,
11:27:15.910,,,,,,,,,,,99.125,,
11:27:15.953,,,,,,420.3125,,1.2083984375,,,,,
11:27:16.028,,,2.96875,,,,,,,,,,
11:27:16.081,,,,,3.885,,,,,,,,
11:27:16.136,,,,3.896,,,,,,,,,
11:27:16.322,,,,,,,,,14.3,,,,
11:27:16.654,,,,,,,11,,,,,,
11:27:16.718,6,,,,,,,,,,,,
11:27:16.781,,,,,,,,,,,,0,
11:27:17.042,,,,,,,,,,72.158203125,,,
11:27:17.104,,32.65625,,,,,,,,,,,
