time,"Ambient temperature (℃)","Battery DC Capacity (kWh)","Battery DC Current (A)","Battery DC Max Voltage (V)","Battery DC Min Voltage (V)","Battery DC Voltage (V)","DC Battery Temperature (℃)","HV EV Battery Power (kW)","OBD Module Voltage (V)","State of charge (%)","State of health (%)","Vehicle speed (km/h)",
20:25:01.443,,,,,,,,,14.7,,,,
20:25:01.672,,,,,,,4,,,,,,
20:25:01.801,-9,,,,,,,,,,,,
20:25:01.939,,,,,,,,,,,,0,
20:25:02.181,,,,,,,,,,72.78515625,,,
20:25:02.287,,30.78125,,,,,,,,,,,
20:25:02.381,,,,,,,,,,,98.9375,,
20:25:02.486,,,,,,420.125,,4.55573046875,,,,,
20:25:02.708,,,10.90625,,,,,,,,,,
20:25:02.825,,,,,3.884,,,,,,,,
20:25:02.951,,,,3.895,,,,,,,,,
20:25:03.082,,,,,,,,,14.4,,,,
20:25:03.346,,,,,,,4,,,,,,
20:25:03.455,-9,,,,,,,,,,,,
20:25:03.560,,,,,,,,,,,,0,
20:25:03.904,,,,,,,,,,72.783203125,,,
20:25:03.988,,30.78125,,,,,,,,,,,
20:25:04.072,,,,,,,,,,,98.9375,,
20:25:04.168,,,,,,420.125,,4.58198828125,,,,,
20:25:04.253,,,10.90625,,,,,,,,,,
20:25:04.327,,,,,3.884,,,,,,,,
20:25:04.432,,,,3.895,,,,,,,,,
20:25:04.725,,,,,,,,,14.4,,,,
20:25:04.927,,,,,,,4,,,,,,
20:25:04.980,-9,,,,,,,,,,,,
20:25:05.032,,,,,,,,,,,,0,
20:25:05.244,,,,,,,,,,72.78125,,,
20:25:05.307,,30.78125,,,,,,,,,,,
20:25:05.359,,,,,,,,,,,98.9375,,
20:25:05.442,,,,,,420.125,,4.58198828125,,,,,
20:25:05.631,,,10.890625,,,,,,,,,,
20:25:05.715,,,,,3.883,,,,,,,,
20:25:05.799,,,,3.895,,,,,,,,,
20:25:05.970,,,,,,,,,14.4,,,,
20:25:06.225,,,,,,,4,,,,,,
20:25:06.290,-9,,,,,,,,,,,,
20:25:06.345,,,,,,,,,,,,0,
20:25:06.810,,,,,,,,,,72.779296875,,,
20:25:06.855,,30.78125,,,,,,,,,,,
20:25:06.928,,,,,,,,,,,98.9375,,
20:25:06.971,,,,,,420.125,,4.575423828125,,,,,
20:25:07.024,,,10.984375,,,,,,,,,,
20:25:07.087,,,,,3.884,,,,,,,,
20:25:07.139,,,,3.894,,,,,,,,,
20:25:07.303,,,,,,,,,14.4,,,,
20:25:07.699,,,,,,,4,,,,,,
20:25:07.742,-9,,,,,,,,,,,,
20:25:07.787,,,,,,,,,,,,0,
20:25:08.065,,,,,,,,,,72.77734375,,,
20:25:08.127,,30.78125,,,,,,,,,,,
20:25:08.189,,,,,,,,,,,98.9375,,
20:25:08.252,,,,,,420.125,,4.614810546875,,,,,
20:25:08.386,,,11.046875,,,,,,,,,,
20:25:08.511,,,,,3.884,,,,,,,,
20:25:08.563,,,,3.895,,,,,,,,,
20:25:08.723,,,,,,,,,14.4,,,,
20:25:08.955,,,,,,,4,,,,,,
20:25:09.018,-9,,,,,,,,,,,,
20:25:09.072,,,,,,,,,,,,0,
20:25:09.452,,,,,,,,,,72.77734375,,,
20:25:09.515,,30.78125,,,,,,,,,,,
20:25:09.557,,,,,,,,,,,98.9375,,
20:25:09.640,,,,,,420,,4.6396875,,,,,
20:25:09.693,,,11.046875,,,,,,,,,,
20:25:09.746,,,,,3.883,,,,,,,,
20:25:09.809,,,,3.894,,,,,,,,,
20:25:10.023,,,,,,,,,14.4,,,,
20:25:10.296,,,,,,,4,,,,,,
20:25:10.445,-9,,,,,,,,,,,,
20:25:10.509,,,,,,,,,,,,0,
20:25:10.758,,,,,,,,,,72.775390625,,,
20:25:10.833,,30.78125,,,,,,,,,,,
20:25:10.899,,,,,,,,,,,98.9375,,
20:25:10.964,,,,,,420,,4.6396875,,,,,
20:25:11.029,,,11.09375,,,,,,,,,,
20:25:11.091,,,,,3.883,,,,,,,,
20:25:11.219,,,,3.894,,,,,,,,,
20:25:11.477,,,,,,,,,14.4,,,,
20:25:11.703,,,,,,,4,,,,,,
20:25:11.758,-9,,,,,,,,,,,,
20:25:11.822,,,,,,,,,,,,0,
20:25:12.033,,,,,,,,,,72.7734375,,,
20:25:12.098,,30.78125,,,,,,,,,,,
20:25:12.256,,,,,,,,,,,98.9375,,
20:25:12.340,,,,,,420.125,,4.66076171875,,,,,
20:25:12.416,,,10.953125,,,,,,,,,,
20:25:12.459,,,,,3.882,,,,,,,,
20:25:12.524,,,,3.894,,,,,,,,,
20:25:12.679,,,,,,,,,14.4,,,,
20:25:12.902,,,,,,,4,,,,,,
20:25:12.967,-9,,,,,,,,,,,,
20:25:13.012,,,,,,,,,,,,0,
20:25:13.357,,,,,,,,,,72.771484375,,,
20:25:13.423,,30.78125,,,,,,,,,,,
20:25:13.488,,,,,,,,,,,98.9375,,
20:25:13.556,,,,,,420,,4.6003125,,,,,
20:25:13.609,,,11.125,,,,,,,,,,
20:25:13.663,,,,,3.882,,,,,,,,
20:25:13.739,,,,3.894,,,,,,,,,
20:25:13.904,,,,,,,,,14.4,,,,
20:25:14.217,,,,,,,4,,,,,,
20:25:14.281,-9,,,,,,,,,,,,
20:25:14.335,,,,,,,,,,,,0,
20:25:14.614,,,,,,,,,,72.76953125,,,
20:25:14.668,,30.765625,,,,,,,,,,,
20:25:14.732,,,,,,,,,,,98.9375,,
20:25:14.796,,,,,,420,,4.6725,,,,,
20:25:14.850,,,11.09375,,,,,,,,,,
20:25:14.925,,,,,3.883,,,,,,,,
20:25:14.978,,,,3.894,,,,,,,,,
20:25:15.351,,,,,,,,,14.4,,,,
20:25:15.543,,,,,,,4,,,,,,
20:25:15.587,-9,,,,,,,,,,,,
20:25:15.663,,,,,,,,,,,,0,
20:25:15.947,,,,,,,,,,72.767578125,,,
20:25:16.012,,30.765625,,,,,,,,,,,
20:25:16.098,,,,,,,,,,,98.9375,,
20:25:16.196,,,,,,420,,4.659375,,,,,
20:25:16.281,,,11.078125,,,,,,,,,,
20:25:16.335,,,,,3.883,,,,,,,,
20:25:16.380,,,,3.894,,,,,,,,,
20:25:16.536,,,,,,,,,14.4,,,,
20:25:16.747,,,,,,,4,,,,,,
20:25:16.791,-9,,,,,,,,,,,,
20:25:16.835,,,,,,,,,,,,0,
20:25:17.214,,,,,,,,,,72.765625,,,
20:25:17.257,,30.765625,,,,,,,,,,,
20:25:17.333,,,,,,,,,,,98.9375,,
20:25:17.376,,,,,,420,,4.6528125,,,,,
20:25:17.420,,,10.921875,,,,,,,,,,
20:25:17.497,,,,,3.883,,,,,,,,
20:25:17.573,,,,3.894,,,,,,,,,
20:25:17.727,,,,,,,,,14.4,,,,
20:25:17.969,,,,,,,4,,,,,,
20:25:18.067,-9,,,,,,,,,,,,
20:25:18.141,,,,,,,,,,,,0,
20:25:18.350,,,,,,,,,,72.765625,,,
20:25:18.407,,30.765625,,,,,,,,,,,
20:25:18.481,,,,,,,,,,,98.9375,,
20:25:18.537,,,,,,420,,4.5871875,,,,,
20:25:18.603,,,10.921875,,,,,,,,,,
20:25:18.678,,,,,3.883,,,,,,,,
20:25:18.753,,,,3.894,,,,,,,,,
20:25:18.951,,,,,,,,,14.4,,,,
20:25:19.254,,,,,,,4,,,,,,
20:25:19.309,-9,,,,,,,,,,,,
20:25:19.363,,,,,,,,,,,,0,
20:25:19.592,,,,,,,,,,72.763671875,,,
20:25:19.647,,30.765625,,,,,,,,,,,
20:25:19.691,,,,,,,,,,,98.9375,,
20:25:19.747,,,,,,419.6875,,4.5837744140625,,,,,
20:25:19.803,,,15.34375,,,,,,,,,,
20:25:19.900,,,,,3.878,,,,,,,,
20:25:19.975,,,,3.89,,,,,,,,,
20:25:20.164,,,,,,,,,14.4,,,,
20:25:20.382,,,,,,,4,,,,,,
20:25:20.447,-9,,,,,,,,,,,,
20:25:20.501,,,,,,,,,,,,0,
20:25:20.720,,,,,,,,,,72.76171875,,,
20:25:20.776,,30.765625,,,,,,,,,,,
20:25:20.885,,,,,,,,,,,98.9375,,
20:25:20.951,,,,,,420.125,,6.44629296875,,,,,
20:25:21.046,,,9.71875,,,,,,,,,,
20:25:21.102,,,,,3.883,,,,,,,,
20:25:21.156,,,,3.895,,,,,,,,,
20:25:21.310,,,,,,,,,14.4,,,,
20:25:21.512,,,,,,,4,,,,,,
20:25:21.556,-8,,,,,,,,,,,,
20:25:21.611,,,,,,,,,,,,0,
20:25:21.916,,,,,,,,,,72.759765625,,,
20:25:22.002,,30.765625,,,,,,,,,,,
20:25:22.068,,,,,,,,,,,98.9375,,
20:25:22.123,,,,,,420.3125,,4.084912109375,,,,,
20:25:22.178,,,8.53125,,,,,,,,,,
20:25:22.242,,,,,3.885,,,,,,,,
20:25:22.308,,,,3.896,,,,,,,,,
20:25:22.473,,,,,,,,,14.4,,,,
20:25:22.713,,,,,,,4,,,,,,
20:25:22.819,-9,,,,,,,,,,,,
20:25:22.884,,,,,,,,,,,,1.4765625,
20:25:23.117,,,,,,,,,,72.75390625,,,
20:25:23.191,,30.765625,,,,,,,,,,,
20:25:23.246,,,,,,,,,,,98.9375,,
20:25:23.310,,,,,,419.8125,,3.581525390625,,,,,
20:25:23.397,,,11.265625,,,,,,,,,,
20:25:23.474,,,,,3.881,,,,,,,,
20:25:23.519,,,,3.893,,,,,,,,,
20:25:23.672,,,,,,,,,14.4,,,,
20:25:23.994,,,,,,,4,,,,,,
20:25:24.060,-8,,,,,,,,,,,,
20:25:24.115,,,,,,,,,,,,3.453125,
20:25:24.355,,,,,,,,,,72.748046875,,,
20:25:24.408,,30.765625,,,,,,,,,,,
20:25:24.461,,,,,,,,,,,98.9375,,
20:25:24.535,,,,,,420.3125,,4.7350830078125,,,,,
20:25:24.579,,,8.65625,,,,,,,,,,
20:25:24.705,,,,,3.885,,,,,,,,
20:25:24.781,,,,3.895,,,,,,,,,
20:25:25.008,,,,,,,,,14.4,,,,
20:25:25.238,,,,,,,4,,,,,,
20:25:25.302,-9,,,,,,,,,,,,
20:25:25.348,,,,,,,,,,,,3.75,
20:25:25.641,,,,,,,,,,72.740234375,,,
20:25:25.727,,30.765625,,,,,,,,,,,
20:25:25.782,,,,,,,,,,,98.9375,,
20:25:25.846,,,,,,420.125,,3.63670703125,,,,,
20:25:25.912,,,8.78125,,,,,,,,,,
20:25:25.966,,,,,3.882,,,,,,,,
20:25:26.031,,,,3.895,,,,,,,,,
20:25:26.190,,,,,,,,,14.4,,,,
20:25:26.446,,,,,,,4,,,,,,
20:25:26.511,-8,,,,,,,,,,,,
20:25:26.618,,,,,,,,,,,,4.6796875,
20:25:26.932,,,,,,,,,,72.736328125,,,
20:25:26.976,,30.75,,,,,,,,,,,
20:25:27.020,,,,,,,,,,,98.9375,,
20:25:27.086,,,,,,420.3125,,3.690869140625,,,,,
20:25:27.140,,,8.5625,,,,,,,,,,
20:25:27.214,,,,,3.885,,,,,,,,
20:25:27.266,,,,3.896,,,,,,,,,
20:25:27.471,,,,,,,,,14.4,,,,
20:25:27.784,,,,,,,4,,,,,,
20:25:27.829,-8,,,,,,,,,,,,
20:25:27.883,,,,,,,,,,,,3.4375,
20:25:28.101,,,,,,,,,,72.73046875,,,
20:25:28.154,,30.75,,,,,,,,,,,
20:25:28.208,,,,,,,,,,,98.9375,,
20:25:28.261,,,,,,420.3125,,3.59892578125,,,,,
20:25:28.325,,,8.015625,,,,,,,,,,
20:25:28.391,,,,,3.885,,,,,,,,
20:25:28.456,,,,3.896,,,,,,,,,
20:25:28.772,,,,,,,,,14.4,,,,
20:25:28.982,,,,,,,4,,,,,,
20:25:29.047,-8,,,,,,,,,,,,
20:25:29.103,,,,,,,,,,,,3.234375,
20:25:29.291,,,,,,,,,,72.7265625,,,
20:25:29.356,,30.75,,,,,,,,,,,
20:25:29.412,,,,,,,,,,,98.9375,,
20:25:29.488,,,,,,420.125,,3.367564453125,,,,,
20:25:29.586,,,8.625,,,,,,,,,,
20:25:29.694,,,,,3.884,,,,,,,,
20:25:29.739,,,,3.896,,,,,,,,,
20:25:29.916,,,,,,,,,14.4,,,,
20:25:30.117,,,,,,,4,,,,,,
20:25:30.172,-9,,,,,,,,,,,,
20:25:30.237,,,,,,,,,,,,2.7578125,
20:25:30.565,,,,,,,,,,72.71875,,,
20:25:30.620,,30.75,,,,,,,,,,,
20:25:30.686,,,,,,,,,,,98.9375,,
20:25:30.752,,,,,,420,,3.6225,,,,,
20:25:30.797,,,10.953125,,,,,,,,,,
20:25:30.862,,,,,3.882,,,,,,,,
20:25:30.916,,,,3.893,,,,,,,,,
20:25:31.083,,,,,,,,,14.4,,,,
20:25:31.303,,,,,,,4,,,,,,
20:25:31.391,-8,,,,,,,,,,,,
20:25:31.477,,,,,,,,,,,,2.375,
20:25:31.737,,,,,,,,,,72.712890625,,,
20:25:31.803,,30.75,,,,,,,,,,,
20:25:31.870,,,,,,,,,,,98.9375,,
20:25:31.925,,,,,,419.1875,,4.5914130859375,,,,,
20:25:31.990,,,19.21875,,,,,,,,,,
20:25:32.035,,,,,3.875,,,,,,,,
20:25:32.079,,,,3.886,,,,,,,,,
20:25:32.248,,,,,,,,,14.4,,,,
20:25:32.597,,,,,,,4,,,,,,
20:25:32.654,-8,,,,,,,,,,,,
20:25:32.709,,,,,,,,,,,,2.7890625,
20:25:32.921,,,,,,,,,,72.70703125,,,
20:25:32.988,,30.734375,,,,,,,,,,,
20:25:33.042,,,,,,,,,,,98.9375,,
20:25:33.097,,,,,,420.125,,8.07427734375,,,,,
20:25:33.163,,,8.71875,,,,,,,,,,
20:25:33.232,,,,,3.884,,,,,,,,
20:25:33.287,,,,3.895,,,,,,,,,
20:25:33.642,,,,,,,,,14.4,,,,
20:25:33.872,,,,,,,4,,,,,,
20:25:33.927,-8,,,,,,,,,,,,
20:25:33.993,,,,,,,,,,,,2.4765625,
20:25:34.223,,,,,,,,,,72.701171875,,,
20:25:34.318,,30.734375,,,,,,,,,,,
20:25:34.403,,,,,,,,,,,98.9375,,
20:25:34.478,,,,,,420.3125,,3.664599609375,,,,,
20:25:34.555,,,8.21875,,,,,,,,,,
20:25:34.599,,,,,3.885,,,,,,,,
20:25:34.664,,,,3.896,,,,,,,,,
20:25:34.820,,,,,,,,,14.4,,,,
20:25:35.060,,,,,,,4,,,,,,
20:25:35.123,-8,,,,,,,,,,,,
20:25:35.177,,,,,,,,,,,,2.3125,
20:25:35.498,,,,,,,,,,72.697265625,,,
20:25:35.553,,30.734375,,,,,,,,,,,
20:25:35.608,,,,,,,,,,,98.9375,,
20:25:35.663,,,,,,420.3125,,3.454443359375,,,,,
20:25:35.739,,,8.0625,,,,,,,,,,
20:25:35.814,,,,,3.885,,,,,,,,
20:25:35.869,,,,3.896,,,,,,,,,
20:25:36.034,,,,,,,,,14.4,,,,
20:25:36.404,,,,,,,4,,,,,,
20:25:36.458,-8,,,,,,,,,,,,
20:25:36.514,,,,,,,,,,,,1.1484375,
20:25:36.718,,,,,,,,,,72.69140625,,,
20:25:36.749,,30.734375,,,,,,,,,,,
20:25:36.814,,,,,,,,,,,98.9375,,
20:25:36.858,,,,,,419.8125,,3.38473828125,,,,,
20:25:36.939,,,14.46875,,,,,,,,,,
20:25:37.016,,,,,3.879,,,,,,,,
20:25:37.059,,,,3.891,,,,,,,,,
20:25:37.321,,,,,,,,,14.4,,,,
20:25:37.563,,,,,,,4,,,,,,
20:25:37.630,-8,,,,,,,,,,,,
20:25:37.686,,,,,,,,,,,,0,
20:25:37.914,,,,,,,,,,72.685546875,,,
20:25:37.957,,30.734375,,,,,,,,,,,
20:25:38.031,,,,,,,,,,,98.9375,,
20:25:38.117,,,,,,420.3125,,6.081396484375,,,,,
20:25:38.223,,,7.53125,,,,,,,,,,
20:25:38.278,,,,,3.885,,,,,,,,
20:25:38.342,,,,3.896,,,,,,,,,
20:25:38.497,,,,,,,,,14.4,,,,
20:25:38.710,,,,,,,4,,,,,,
20:25:38.764,-9,,,,,,,,,,,,
20:25:38.830,,,,,,,,,,,,0,
20:25:39.175,,,,,,,,,,72.6796875,,,
20:25:39.220,,30.734375,,,,,,,,,,,
20:25:39.285,,,,,,,,,,,98.9375,,
20:25:39.352,,,,,,419.6875,,3.160771484375,,,,,
20:25:39.398,,,14.5,,,,,,,,,,
20:25:39.464,,,,,3.881,,,,,,,,
20:25:39.529,,,,3.89,,,,,,,,,
20:25:39.696,,,,,,,,,14.4,,,,
20:25:39.970,,,,,,,4,,,,,,
20:25:40.047,-8,,,,,,,,,,,,
20:25:40.176,,,,,,,,,,,,2.2734375,
20:25:40.398,,,,,,,,,,72.677734375,,,
20:25:40.475,,30.734375,,,,,,,,,,,
20:25:40.542,,,,,,,,,,,98.9375,,
20:25:40.598,,,,,,420.125,,6.0918125,,,,,
