time,"Ambient temperature (℃)","Battery DC Capacity (kWh)","Battery DC Current (A)","Battery DC Max Voltage (V)","Battery DC Min Voltage (V)","Battery DC Voltage (V)","DC Battery Temperature (℃)","HV EV Battery Power (kW)","OBD Module Voltage (V)","State of charge (%)","State of health (%)","Vehicle speed (km/h)",
06:47:18.946,,,,,,,,,14.3,,,,
06:47:19.208,,,,,,,13,,,,,,
06:47:19.343,10,,,,,,,,,,,,
06:47:19.450,,,,,,,,,,,,0,
06:47:19.868,,,,,,,,,,90.638671875,,,
06:47:19.976,,38.859375,,,,,,,,,,,
06:47:20.064,,,,,,,,,,,97.875,,
06:47:20.183,,,,,,438.125,,0.72564453125,,,,,
06:47:20.289,,,1.515625,,,,,,,,,,
06:47:20.409,,,,,4.048,,,,,,,,
06:47:20.517,,,,4.063,,,,,,,,,
06:47:20.769,,,,,,,,,14.3,,,,
06:47:21.045,,,,,,,13,,,,,,
06:47:21.143,10,,,,,,,,,,,,
06:47:21.240,,,,,,,,,,,,0,
06:47:21.491,,,,,,,,,,90.638671875,,,
06:47:21.598,,38.859375,,,,,,,,,,,
06:47:21.809,,,,,,,,,,,97.875,,
06:47:21.916,,,,,,438.125,,0.664033203125,,,,,
06:47:22.044,,,1.546875,,,,,,,,,,
06:47:22.164,,,,,4.049,,,,,,,,
06:47:22.280,,,,4.063,,,,,,,,,
06:47:22.641,,,,,,,,,14.3,,,,
06:47:22.886,,,,,,,13,,,,,,
06:47:22.939,10,,,,,,,,,,,,
06:47:23.003,,,,,,,,,,,,0,
06:47:23.186,,,,,,,,,,90.638671875,,,
06:47:23.260,,38.859375,,,,,,,,,,,
06:47:23.313,,,,,,,,,,,97.875,,
06:47:23.377,,,,,,438.125,,0.677724609375,,,,,
06:47:23.459,,,1.578125,,,,,,,,,,
06:47:23.544,,,,,4.048,,,,,,,,
06:47:23.627,,,,4.063,,,,,,,,,
06:47:23.785,,,,,,,,,14.3,,,,
06:47:24.013,,,,,,,13,,,,,,
