time,"Ambient temperature (℃)","Battery DC Capacity (kWh)","Battery DC Current (A)","Battery DC Max Voltage (V)","Battery DC Min Voltage (V)","Battery DC Voltage (V)","DC Battery Temperature (℃)","HV EV Battery Power (kW)","OBD Module Voltage (V)","State of charge (%)","State of health (%)","Vehicle speed (km/h)",
08:47:54.660,,,,,,,,,13.3,,,,
08:48:11.741,,,-208.453125,,,,,,,,,,
08:48:12.271,,,-209.34375,,,,,,,,,,
08:48:12.490,,,,,,,,,,,,0,
08:48:12.706,,,,,,,,,,22.330078125,,,
08:48:12.766,,9,,,,,,,,,,,
08:48:12.835,,,,,,,,,,,97.875,,
08:48:12.907,,,,,,405.625,,-84.91505859375,,,,,
08:48:12.975,,,-209.15625,,,,,,,,,,
08:48:13.032,,,,,3.734,,,,,,,,
08:48:13.110,,,,3.764,,,,,,,,,
08:48:13.268,,,,,,,,,13.3,,,,
08:48:13.637,,,,,,,24,,,,,,
08:48:13.703,8,,,,,,,,,,,,
08:48:13.757,,,,,,,,,,,,0,
08:48:14.016,,,,,,,,,,22.3984375,,,
08:48:14.071,,9.03125,,,,,,,,,,,
08:48:14.127,,,,,,,,,,,97.875,,
08:48:14.191,,,,,,405.625,,-84.83900390625,,,,,
08:48:14.265,,,-209.625,,,,,,,,,,
08:48:14.308,,,,,3.732,,,,,,,,
08:48:14.367,,,,3.762,,,,,,,,,
08:48:14.541,,,,,,,,,13.3,,,,
08:48:14.766,,,,,,,24,,,,,,
08:48:14.810,8,,,,,,,,,,,,
08:48:14.877,,,,,,,,,,,,0,
08:48:15.095,,,,,,,,,,22.455078125,,,
08:48:15.161,,9.0625,,,,,,,,,,,
08:48:15.253,,,,,,,,,,,97.875,,
08:48:15.350,,,,,,405.75,,-85.05534375,,,,,
08:48:15.438,,,-209.09375,,,,,,,,,,
08:48:15.537,,,,,3.733,,,,,,,,
08:48:15.592,,,,3.763,,,,,,,,,
08:48:15.749,,,,,,,,,13.3,,,,
08:48:15.979,,,,,,,24,,,,,,
08:48:16.044,8,,,,,,,,,,,,
08:48:16.133,,,,,,,,,,,,0,
08:48:16.366,,,,,,,,,,22.51953125,,,
08:48:16.422,,9.09375,,,,,,,,,,,
08:48:16.476,,,,,,,,,,,97.875,,
08:48:16.544,,,,,,405.625,,-84.81365234375,,,,,
08:48:16.602,,,-208.515625,,,,,,,,,,
08:48:16.649,,,,,3.735,,,,,,,,
08:48:16.705,,,,3.765,,,,,,,,,
08:48:16.860,,,,,,,,,13.3,,,,
08:48:17.050,,,,,,,24,,,,,,
08:48:17.095,8,,,,,,,,,,,,
08:48:17.186,,,,,,,,,,,,0,
08:48:17.527,,,,,,,,,,22.578125,,,
08:48:17.575,,9.109375,,,,,,,,,,,
08:48:17.633,,,,,,,,,,,97.875,,
08:48:17.687,,,,,,405,,-84.448828125,,,,,
08:48:17.743,,,-193.34375,,,,,,,,,,
08:48:17.788,,,,,3.729,,,,,,,,
08:48:17.865,,,,3.757,,,,,,,,,
08:48:18.025,,,,,,,,,13.3,,,,
08:48:18.274,,,,,,,24,,,,,,
08:48:18.353,8,,,,,,,,,,,,
08:48:18.397,,,,,,,,,,,,0,
08:48:18.702,,,,,,,,,,22.638671875,,,
08:48:18.778,,9.140625,,,,,,,,,,,
08:48:18.834,,,,,,,,,,,97.875,,
08:48:18.910,,,,,,405,,-78.30421875,,,,,
08:48:19.008,,,-196.5,,,,,,,,,,
08:48:19.086,,,,,3.73,,,,,,,,
08:48:19.163,,,,3.759,,,,,,,,,
08:48:19.333,,,,,,,,,13.3,,,,
08:48:19.534,,,,,,,24,,,,,,
08:48:19.600,8,,,,,,,,,,,,
08:48:19.707,,,,,,,,,,,,0,
08:48:19.936,,,,,,,,,,22.697265625,,,
08:48:20.012,,9.15625,,,,,,,,,,,
08:48:20.068,,,,,,,,,,,97.875,,
08:48:20.133,,,,,,405.125,,-79.6070625,,,,,
08:48:20.187,,,-195.796875,,,,,,,,,,
08:48:20.265,,,,,3.73,,,,,,,,
08:48:20.346,,,,3.757,,,,,,,,,
08:48:20.572,,,,,,,,,13.3,,,,
08:48:21.102,,,,,,,24,,,,,,
08:48:21.182,8,,,,,,,,,,,,
08:48:21.272,,,,,,,,,,,,0,
08:48:21.579,,,,,,,,,,22.7734375,,,
08:48:21.636,,9.1875,,,,,,,,,,,
08:48:21.693,,,,,,,,,,,97.875,,
08:48:21.758,,,,,,405,,-79.297734375,,,,,
08:48:21.816,,,-197.890625,,,,,,,,,,
08:48:21.871,,,,,3.73,,,,,,,,
08:48:21.939,,,,3.759,,,,,,,,,
08:48:22.091,,,,,,,,,13.3,,,,
08:48:22.296,,,,,,,24,,,,,,
08:48:22.343,8,,,,,,,,,,,,
08:48:22.399,,,,,,,,,,,,0,
08:48:22.631,,,,,,,,,,22.828125,,,
08:48:22.700,,9.21875,,,,,,,,,,,
08:48:22.757,,,,,,,,,,,97.875,,
08:48:22.814,,,,,,405,,-80.145703125,,,,,
08:48:22.881,,,-188.921875,,,,,,,,,,
08:48:22.961,,,,,3.732,,,,,,,,
08:48:23.061,,,,3.758,,,,,,,,,
08:48:23.221,,,,,,,,,13.3,,,,
08:48:23.414,,,,,,,24,,,,,,
08:48:23.474,8,,,,,,,,,,,,
08:48:23.533,,,,,,,,,,,,0,
08:48:23.769,,,,,,,,,,22.880859375,,,
08:48:23.827,,9.234375,,,,,,,,,,,
08:48:23.873,,,,,,,,,,,97.875,,
08:48:23.932,,,,,,405.3125,,-76.5723974609375,,,,,
08:48:24.000,,,-196,,,,,,,,,,
08:48:24.060,,,,,3.73,,,,,,,,
08:48:24.126,,,,3.759,,,,,,,,,
08:48:24.273,,,,,,,,,13.3,,,,
08:48:24.510,,,,,,,24,,,,,,
08:48:24.587,8,,,,,,,,,,,,
08:48:24.668,,,,,,,,,,,,0,
08:48:24.914,,,,,,,,,,22.939453125,,,
08:48:24.982,,9.265625,,,,,,,,,,,
08:48:25.049,,,,,,,,,,,97.875,,
08:48:25.105,,,,,,405.3125,,-79.44125,,,,,
08:48:25.164,,,-194.15625,,,,,,,,,,
08:48:25.209,,,,,3.732,,,,,,,,
08:48:25.265,,,,3.761,,,,,,,,,
08:48:25.419,,,,,,,,,13.3,,,,
08:48:25.607,,,,,,,24,,,,,,
08:48:25.677,8,,,,,,,,,,,,
08:48:25.722,,,,,,,,,,,,0,
08:48:25.937,,,,,,,,,,22.986328125,,,
08:48:26.002,,9.28125,,,,,,,,,,,
08:48:26.069,,,,,,,,,,,97.875,,
08:48:26.113,,,,,,404.8125,,-78.596876953125,,,,,
08:48:26.177,,,-184.453125,,,,,,,,,,
08:48:26.240,,,,,3.729,,,,,,,,
08:48:26.299,,,,3.755,,,,,,,,,
08:48:26.477,,,,,,,,,13.3,,,,
08:48:26.816,,,,,,,24,,,,,,
08:48:26.871,8,,,,,,,,,,,,
08:48:26.926,,,,,,,,,,,,0,
08:48:27.136,,,,,,,,,,23.041015625,,,
08:48:27.212,,9.296875,,,,,,,,,,,
08:48:27.283,,,,,,,,,,,97.875,,
08:48:27.351,,,,,,404.8125,,-74.6689306640625,,,,,
08:48:27.388,,,-182.484375,,,,,,,,,,
08:48:27.443,,,,,3.729,,,,,,,,
08:48:27.498,,,,3.756,,,,,,,,,
08:48:27.666,,,,,,,,,13.3,,,,
08:48:27.890,,,,,,,24,,,,,,
08:48:27.948,8,,,,,,,,,,,,
08:48:27.995,,,,,,,,,,,,0,
08:48:28.189,,,,,,,,,,23.09375,,,
08:48:28.237,,9.328125,,,,,,,,,,,
08:48:28.327,,,,,,,,,,,97.875,,
08:48:28.436,,,,,,405,,-73.906171875,,,,,
08:48:28.513,,,-185.953125,,,,,,,,,,
08:48:28.569,,,,,3.73,,,,,,,,
