time,"Ambient temperature (℃)","Battery DC Capacity (kWh)","Battery DC Current (A)","Battery DC Max Voltage (V)","Battery DC Min Voltage (V)","Battery DC Voltage (V)","DC Battery Temperature (℃)","HV EV Battery Power (kW)","OBD Module Voltage (V)","State of charge (%)","State of health (%)","Vehicle speed (km/h)",
07:09:11.279,,,,,,,,,14.4,,,,
07:09:11.547,,,,,,,6,,,,,,
07:09:11.781,6,,,,,,,,,,,,
07:09:11.897,,,,,,,,,,,,0,
07:09:12.272,,,,,,,,,,41.0859375,,,
07:09:12.380,,19.234375,,,,,,,,,,,
07:09:12.478,,,,,,,,,,,99.125,,
07:09:12.627,,,,,,393.875,,2.84328515625,,,,,
07:09:12.752,,,6.671875,,,,,,,,,,
07:09:12.870,,,,,3.643,,,,,,,,
07:09:12.986,,,,3.651,,,,,,,,,
07:09:13.177,,,,,,,,,14.3,,,,
07:09:13.530,,,,,,,6,,,,,,
07:09:13.639,6,,,,,,,,,,,,
07:09:13.738,,,,,,,,,,,,0,
07:09:14.004,,,,,,,,,,41.083984375,,,
07:09:14.089,,19.234375,,,,,,,,,,,
07:09:14.187,,,,,,,,,,,99.125,,
07:09:14.276,,,,,,393.875,,2.627884765625,,,,,
07:09:14.363,,,6.8125,,,,,,,,,,
07:09:14.513,,,,,3.642,,,,,,,,
07:09:14.621,,,,3.652,,,,,,,,,
07:09:14.803,,,,,,,,,14.3,,,,
07:09:15.020,,,,,,,6,,,,,,
07:09:15.076,6,,,,,,,,,,,,
07:09:15.120,,,,,,,,,,,,0,
07:09:15.352,,,,,,,,,,41.08203125,,,
07:09:15.449,,19.234375,,,,,,,,,,,
07:09:15.546,,,,,,,,,,,99.125,,
07:09:15.614,,,,,,393.875,,2.6832734375,,,,,
07:09:15.670,,,6.84375,,,,,,,,,,
07:09:15.737,,,,,3.643,,,,,,,,
07:09:15.792,,,,3.652,,,,,,,,,
07:09:15.971,,,,,,,,,14.3,,,,
07:09:16.226,,,,,,,6,,,,,,
07:09:16.300,6,,,,,,,,,,,,
07:09:16.383,,,,,,,,,,,,0,
07:09:16.636,,,,,,,,,,41.08203125,,,
07:09:16.699,,19.234375,,,,,,,,,,,
07:09:16.753,,,,,,,,,,,99.125,,
07:09:16.816,,,,,,393.875,,2.69558203125,,,,,
07:09:16.868,,,6.96875,,,,,,,,,,
07:09:16.931,,,,,3.643,,,,,,,,
07:09:17.002,,,,3.652,,,,,,,,,
07:09:17.163,,,,,,,,,14.3,,,,
07:09:17.465,,,,,,,6,,,,,,
07:09:17.537,6,,,,,,,,,,,,
07:09:17.591,,,,,,,,,,,,0,
07:09:17.793,,,,,,,,,,41.080078125,,,
07:09:17.858,,19.234375,,,,,,,,,,,
07:09:17.911,,,,,,,,,,,99.125,,
07:09:17.964,,,,,,393.875,,2.74481640625,,,,,
07:09:18.017,,,6.890625,,,,,,,,,,
07:09:18.069,,,,,3.642,,,,,,,,
07:09:18.132,,,,3.651,,,,,,,,,
07:09:18.389,,,,,,,,,14.3,,,,
07:09:18.634,,,,,,,6,,,,,,
07:09:18.691,6,,,,,,,,,,,,
07:09:18.749,,,,,,,,,,,,0,
07:09:18.981,,,,,,,,,,41.080078125,,,
07:09:19.027,,19.234375,,,,,,,,,,,
07:09:19.094,,,,,,,,,,,99.125,,
